10301,4,16,55,7,63,,0
10302,74,10,0,88,66,,
10303,80,42,29,35,64,,
10304,11,27,97,53,71,,
10305,19,32,41,76,68,,
10306,97,18,49,66,23,,
10307,46,73,12,12,1,,
10308,100,63,81,97,3,,
10309,20,62,99,18,32,,
10310,25,21,71,0,6,,
10311,66,15,19,69,9,,
10312,41,62,97,76,86,,
10313,4,42,85,66,22,,
10314,84,60,67,84,89,,
10315,60,49,94,71,93,,
10316,45,5,21,2,7,,
10317,29,46,39,3,12,,
10318,96,38,39,58,51,,
10319,28,63,93,47,48,,
10320,93,63,11,88,22,,
10321,23,74,92,17,59,,
10322,95,29,40,38,43,,
10323,5,1,49,6,5,,
10324,84,99,74,76,0,,
10325,95,10,0,40,55,,
10326,8,30,29,59,1,,
10327,71,59,80,95,2,,
10328,55,9,32,98,70,,
10329,7,2,29,32,51,,
10330,53,37,39,46,5,,
10331,83,9,94,37,93,,
10332,86,1,74,8,96,,
10333,58,38,79,72,40,,
10334,58,33,47,80,58,,
10335,9,71,24,81,18,,
10336,51,99,91,91,80,,
10401,91,54,85,83,16,,
10402,87,49,36,52,74,,
10403,9,76,51,45,2,,
10404,94,69,51,35,93,,
10405,70,42,69,72,52,,
10406,62,20,79,12,20,,
10407,54,90,7,18,74,,
10408,85,13,10,88,69,,
10409,88,98,82,73,8,,
10410,24,16,34,14,74,,
10411,7,2,94,19,83,,
10412,54,8,22,7,16,,
10413,25,44,13,92,41,,
10414,39,70,12,82,36,,
10415,73,26,39,63,4,,
10416,76,11,62,27,20,,
10417,68,50,29,57,54,,
10418,86,48,64,65,67,,
10419,24,66,49,93,33,,
10420,62,48,87,38,94,,
10421,21,6,71,35,20,,
10422,26,44,51,93,27,,
10423,36,3,48,82,19,,
10424,77,26,74,1,58,,
10425,70,42,69,72,52,,
10426,62,20,79,12,20,,
10427,54,90,7,18,74,,
10428,85,13,10,88,69,,
10429,88,98,82,73,8,,
10430,24,16,34,14,74,,
10431,7,2,94,19,83,,
10432,54,8,22,7,16,,
10433,25,44,13,92,41,,
10434,7,2,94,19,83,,
10435,54,8,22,7,16,,
10436,25,44,13,92,41,,
10437,39,70,12,82,36,,
